smmp_id,depthpos,node_id,x_smmp,y_smmp,z_surface,install_year,next_tree_id,next_tree_dist,tree_pos,smmp_type,profiledepth_cm,sampling_date_core,fc_vol_perc,ks_m_s,bulkdens_kg_m3,porosity_sat_vol_perc,porosity_calc_vol_perc,gravel_grav_perc,sand_grav_perc,silt_grav_perc,clay_grav_perc,textureclass,textureclass_ger
161,t,57,598851.64,5662829.78,362.68,2014,1013,1.47,far,k,35,27.10.14,47.67,0.000102,1.09,61.6,58.9,0.04,2.74,86.62,10.64,Si,Ut2
164,b,42,598864.95,5662771.98,366.72,2015,711,1.43,far,k,50,26.03.15,46.13,0.0000463,1.39,50.8,47.9,,,,,,
164,t,42,598864.95,5662771.98,366.72,2015,711,1.43,far,k,50,26.03.15,44.78,0.0000925,1.08,61.3,59.5,,,,,,
167,b,46,598867.65,5662802.65,364.67,2014,796,3.66,far,k,27,,49.44,,1.3,55.5,51.1,,,,,,
167,t,46,598867.65,5662802.65,364.67,2014,796,3.66,far,k,27,29.10.14,43.7,0.0000614,1.12,56.9,57.7,,,,,,
172,b,1,598878.75,5662771.27,366.54,2015,712,1.22,far,k,45,26.03.15,41.56,0.000000128,1.45,48.5,45.6,,,,,,
172,t,1,598878.75,5662771.27,366.54,2015,712,1.22,far,k,45,26.03.15,43.06,0.00001,1.27,52.3,52.4,,,,,,
175,b,49,598876.29,5662806.1,364.4,2014,862,2.64,far,k,40,29.10.14,44.22,0.000156,1.14,56.2,57.3,,,,,,
175,t,49,598876.29,5662806.1,364.4,2014,862,2.64,far,k,40,29.10.14,,0.000247,,,,,,,,,
178,b,3,598882.12,5662755.22,367.36,2015,606,1.7,far,k,45,26.03.15,51.4,,1.31,56,50.6,,,,,,
178,t,3,598882.12,5662755.22,367.36,2015,606,1.7,far,k,45,25.03.15,42.13,0.0000034,1.28,53.3,52.1,,,,,,
179,b,1,598884.34,5662766.87,366.69,2015,613,2.92,far,k,39,26.03.15,43.39,,1.51,47.6,43.4,,,,,,
179,t,1,598884.34,5662766.87,366.69,2015,613,2.92,far,k,39,26.03.15,48.93,0.0000437,1.17,59.3,56.2,,,,,,
181,b,34,598888.9,5662784.48,365.61,2014,725,1.45,far,k,,,36.27,0.0000948,1.3,50.6,51.1,,,,,,
181,t,34,598888.9,5662784.48,365.61,2014,725,1.45,far,k,,,46.06,0.0000281,1.18,61.3,55.6,,,,,,
182,b,21,598888.14,5662791.41,365.2,2014,778,1.25,far,k,42,,40,0.0000978,1.45,52.3,45.7,,,,,,
182,t,21,598888.14,5662791.41,365.2,2014,778,1.25,far,k,42,,47.35,0.0000102,1.43,52.1,46.3,,,,,,
184,b,47,598887.51,5662817.07,363.43,2014,869,3.06,far,k,30,30.10.14,35.84,,1.24,46.6,53.2,,,,,,
184,t,47,598887.51,5662817.07,363.43,2014,869,3.06,far,k,30,30.10.14,43.35,0.000468,1.22,49.9,54.3,,,,,,
185,b,17,598888.14,5662823.02,363.04,2014,992,1.91,far,k,41,05.11.14,37.3,,1.51,40.1,43.1,0.05,1.45,80.77,17.79,SiL,Ut4
185,t,17,598888.14,5662823.02,363.04,2014,992,1.91,far,k,41,05.11.14,,0.0000792,,,,0.22,2.87,94.52,2.61,Si,Uu
186,b,11,598896.95,5662750.76,367.12,2014,908,5.35,far,k,40,29.09.14,43.83,,1.43,44.6,46.1,0.02,4.57,69.13,26.28,SiL,Tu4
186,t,11,598896.95,5662750.76,367.12,2014,908,5.35,far,k,40,29.09.14,39.16,0.00000389,,45.3,,0.18,3.33,75.13,21.36,SiL,Ut4
187,b,20,598897.07,5662763.54,366.6,2015,912,0.49,close,k,40,27.03.15,44.48,0.00000195,1.43,50.5,46.1,0,1.65,67.04,31.31,SiCL,Tu4
187,t,20,598897.07,5662763.54,366.6,2015,912,0.49,close,k,40,27.03.15,39.39,0.0000195,1.49,46.5,44.1,,,,,,
189,b,24,598897.01,5662786.98,365.34,2014,782,1.27,far,k,53,12.11.14,38.21,0.0000232,1.35,46.5,49.3,0.15,4.66,71.26,23.92,SiL,Ut4
189,t,24,598897.01,5662786.98,365.34,2014,782,1.27,far,k,53,12.11.14,45.33,0.00000537,1.15,50.8,56.9,0.32,3.05,81.84,14.79,SiL,Ut3
190,b,53,598891.84,5662790.76,365.17,2014,780,2.53,far,k,27,12.11.14,43.32,0.000000377,1.37,45.1,48.3,0,8.18,71.92,19.91,SiL,Ut4
190,t,53,598891.84,5662790.76,365.17,2014,780,2.53,far,k,27,12.11.14,46.8,0.0000275,1.12,53.4,57.9,0.13,3.31,73.16,23.4,SiL,Ut4
192,b,67,598890.3,5662810.07,363.95,2014,875,1.98,far,k,,11.11.14,42.97,,1.39,44.5,47.8,0.06,7.2,70.6,22.14,SiL,Ut4
