bibtexkey,remarks
Yarham2012,Landschaften lesen
Heinrich2006,Atlas der Erde (physische Geographie)
Wegmann2020,Introduction to spacial data analysis (appendices with R code)
PerpinanLamigueiro2015,Displaying time series ...
Ligges2008,Programmieren mit R
Hengl2009,Guide to soil mapping
Hengl2018a,Predictive soil mapping
